figure,domain,metric,value
fig_cost,invoice,live_mean_llm_calls,5.0
fig_cost,invoice,habit_mean_llm_calls,0.0
fig_cost,ticket,live_mean_llm_calls,6.0
fig_cost,ticket,habit_mean_llm_calls,0.0
fig_cost,report,live_mean_llm_calls,6.0
fig_cost,report,habit_mean_llm_calls,0.0
fig_survival,n_steps=10,naive_peak,10.0
fig_survival,n_steps=10,policy_peak,2.0
fig_survival,n_steps=20,naive_peak,20.0
fig_survival,n_steps=20,policy_peak,2.0
fig_survival,n_steps=50,naive_peak,50.0
fig_survival,n_steps=50,policy_peak,2.0
fig_survival,n_steps=100,naive_peak,100.0
fig_survival,n_steps=100,policy_peak,2.0
fig_survival,n_steps=200,naive_peak,200.0
fig_survival,n_steps=200,policy_peak,2.0
fig_generalization,invoice,normal_success,1.0
fig_generalization,invoice,shifted_success,1.0
fig_generalization,ticket,normal_success,1.0
fig_generalization,ticket,shifted_success,1.0
fig_generalization,report,normal_success,1.0
fig_generalization,report,shifted_success,1.0
fig_divergence,invoice,shape_catch_rate,1.0
fig_divergence,invoice,value_catch_rate,0.0
fig_divergence,invoice,false_abort_rate,0.0
safety_under_shift,invoice,normal_safe,1.0
safety_under_shift,invoice,shifted_safe,1.0
safety_under_shift,invoice,shifted_starvations,0.0
safety_under_shift,ticket,normal_safe,1.0
safety_under_shift,ticket,shifted_safe,1.0
safety_under_shift,ticket,shifted_starvations,0.0
safety_under_shift,report,normal_safe,1.0
safety_under_shift,report,shifted_safe,1.0
safety_under_shift,report,shifted_starvations,0.0
